date,sunrise,sunset,daylength,daylength_diff,astro_twilight_start,astro_twilight_end,nautical_twilight_start,nautical_twilight_end,civil_twilight_start,civil_twilight_end,solar_noon_time,solar_noon_dist,temp_c_max,temp_c_min,grass_temp_c_min,earth_temp_c,sun_hours,rain_mm,wind_direction,wind_mean_mph,wind_max_mph,cloud_cover,pressure_mb_mean,humid_mean,temp_c_mean,fog_vis_1000,fog_vis_200,snow,snow_lying,hail,thunder,date.1,snow_mm
2011-12-11,07:55,15:51,07:55:52,-1:11,05:52:00,17:54:00,06:32:00,17:14:00,07:15:00,16:31:00,11:53,147.305,8,2.5,0.9,4.8,0,3.6,S,9.6,29,8,1005.9,89,5.8,0,0,0,0,0,0,11,
2011-12-12,07:56,15:51,07:54:47,-1:05,05:52:00,17:55:00,06:33:00,17:14:00,07:16:00,16:31:00,11:54,147.289,11.4,2,0.2,5.5,6,10,SW,11.5,43,0,1000.3,87.7,5.5,0,0,0,0,0,0,12,
2011-12-13,07:57,15:51,07:53:48,-0:59,05:53:00,17:55:00,06:34:00,17:14:00,07:17:00,16:31:00,11:54,147.273,6.5,4.2,2.1,6,3.9,1.8,SW,15.7,49,4,988,84.8,5.9,0,0,0,0,0,0,13,
2011-12-14,07:58,15:51,07:52:55,-0:52,05:54:00,17:55:00,06:35:00,17:14:00,07:18:00,16:31:00,11:55,147.257,5.7,2.3,0.6,5.5,2.6,2.8,SW,12.1,31,3,992.6,83.7,3.8,0,0,0,0,0,0,14,
2011-12-15,07:59,15:51,07:52:09,-0:46,05:55:00,17:55:00,06:36:00,17:14:00,07:19:00,16:31:00,11:55,147.243,6.9,1.5,-0.3,5,3.2,6.3,W,10.5,33,7,994.9,85.2,4.6,0,0,0,0,0,0,15,
2011-12-16,08:00,15:51,07:51:29,-0:40,05:56:00,17:55:00,06:36:00,17:14:00,07:19:00,16:31:00,11:55,147.23,2.9,0.1,-0.2,5,0.1,3.1,NW,7.7,23,8,988.2,93.7,1.9,1,0,1,1,0,0,16,
2011-12-17,08:00,15:51,07:50:55,-0:33,05:56:00,17:56:00,06:37:00,17:15:00,07:20:00,16:32:00,11:56,147.217,4.3,-0.4,-2.2,4.5,2.2,0.2,SW,8.4,21,7,1007.5,90.9,1.8,0,0,0,0,0,0,17,
2011-12-18,08:01,15:52,07:50:27,-0:27,05:57:00,17:56:00,06:38:00,17:15:00,07:21:00,16:32:00,11:56,147.205,3.5,-1.7,-4,4.2,1.7,0.3,W,6.9,22,7,1015.4,90.8,0.3,0,0,1,0,0,0,18,
2011-12-19,08:02,15:52,07:50:06,-0:20,05:58:00,17:56:00,06:38:00,17:15:00,07:22:00,16:32:00,11:57,147.194,6.5,-1.3,-4.2,3.8,0,3.8,SW,8.4,24,8,1012.8,93.4,3.1,0,0,0,0,0,0,19,
2011-12-20,08:02,15:52,07:49:52,-0:14,05:58:00,17:57:00,06:39:00,17:16:00,07:22:00,16:33:00,11:57,147.184,8.1,4,1.5,4.2,3,4.3,W,9.1,23,0,1013.9,87.7,5.5,0,0,0,0,0,0,20,
2011-12-21,08:03,15:53,07:49:44,-0:07,05:59:00,17:57:00,06:40:00,17:16:00,07:23:00,16:33:00,11:58,147.174,11.1,4.8,4.3,4.8,0,0.2,W,7.5,20,8,1016.8,96.1,8.6,1,0,0,0,0,0,21,
2011-12-22,08:04,15:53,07:49:42,-0:01,05:59:00,17:58:00,06:40:00,17:17:00,07:23:00,16:34:00,11:58,147.164,11,8.2,6.1,6,6.6,0,SW,10.4,26,3,1023.1,89.8,9.5,0,0,0,0,0,0,22,
2011-12-23,08:04,15:54,07:49:47,+0:05,06:00:00,17:58:00,06:41:00,17:17:00,07:24:00,16:34:00,11:59,147.156,11.1,9.8,8.1,6.4,0.8,6.6,SW,12.2,31,5,1015.8,87.4,8.6,0,0,0,0,0,0,23,
2011-12-24,08:04,15:54,07:49:59,+0:11,06:00:00,17:59:00,06:41:00,17:18:00,07:24:00,16:35:00,11:59,147.148,9.7,1.6,-0.6,6.1,0.3,0.3,SW,10.2,26,6,1026.3,87,4.9,0,0,0,0,0,0,24,
2011-12-25,08:05,15:55,07:50:17,+0:18,06:01:00,17:59:00,06:41:00,17:19:00,07:25:00,16:35:00,12:00,147.14,12,6.9,5.6,6,1.4,0,SW,14.4,34,5,1026.1,87.3,10.2,0,0,0,0,0,0,25,
2011-12-26,08:05,15:56,07:50:42,+0:24,06:01:00,18:00:00,06:42:00,17:19:00,07:25:00,16:36:00,12:00,147.133,13.7,10.9,8.8,7,1.9,0,SW,11.8,32,7,1031.2,84.1,11.3,0,0,0,0,0,0,26,
2011-12-27,08:05,15:57,07:51:13,+0:31,06:01:00,18:01:00,06:42:00,17:20:00,07:25:00,16:37:00,12:01,147.126,10.5,9,8.4,7.5,0.2,0,SW,7.3,30,6,1031.3,78.2,9.2,0,0,0,0,0,0,27,
2011-12-28,08:06,15:57,07:51:50,+0:37,06:01:00,18:01:00,06:42:00,17:21:00,07:25:00,16:38:00,12:01,147.12,10.2,6.8,5,7.5,2.6,0.1,SW,13.1,31,7,1019.1,78.9,7.8,0,0,0,0,0,0,28,
2011-12-29,08:06,15:58,07:52:34,+0:43,06:02:00,18:02:00,06:42:00,17:21:00,07:26:00,16:38:00,12:02,147.115,8.5,4.5,2.6,6.8,0.2,2.4,SW,14.1,35,8,1017.8,80.6,6.1,0,0,0,0,0,0,29,
2011-12-30,08:06,15:59,07:53:25,+0:50,06:02:00,18:03:00,06:43:00,17:22:00,07:26:00,16:39:00,12:02,147.11,11.1,3.6,1.4,6.4,0.2,4.7,W,9.1,26,7,1015.1,89,5.6,0,0,0,0,0,0,30,
2011-12-31,08:06,16:00,07:54:21,+0:56,06:02:00,18:04:00,06:43:00,17:23:00,07:26:00,16:40:00,12:03,147.106,12.4,7.7,7.6,6.8,0.7,0.3,SW,11.4,27,8,1008,92.6,11,0,0,0,0,0,0,31,
2012-01-01,08:06,16:01,07:55:24,+1:02,06:02:00,18:05:00,06:43:00,17:24:00,07:26:00,16:41:00,12:03,147.102,11.8,10.9,9,7.7,0.1,1.5,S,9.3,27,8,1003.1,88.3,10.6,0,0,0,0,0,0,1,
2012-01-02,08:06,16:02,07:56:32,+1:08,06:02:00,18:06:00,06:43:00,17:25:00,07:26:00,16:42:00,12:04,147.1,11.9,3.5,1.6,7.5,6.4,2.2,SW,11.5,29,1,1006.7,82.8,5,0,0,0,0,0,0,2,
2012-01-03,08:05,16:03,07:57:47,+1:14,06:02:00,18:07:00,06:43:00,17:26:00,07:26:00,16:43:00,12:04,147.098,12.1,4.2,3.5,6.5,1,4.8,SW,18,51,8,1000,84.7,7.4,0,0,0,0,0,0,3,
2012-01-04,08:05,16:04,07:59:08,+1:20,06:02:00,18:07:00,06:43:00,17:27:00,07:26:00,16:44:00,12:05,147.097,10.9,4,1.8,6.3,0,4.8,SW,16.5,44,7,1010.9,80.2,6.3,0,0,0,0,0,0,4,
2012-01-05,08:05,16:06,08:00:34,+1:26,06:02:00,18:08:00,06:43:00,17:28:00,07:25:00,16:45:00,12:05,147.097,8.5,5.7,4,6.6,2.6,0.2,NW,16.3,50,7,1002.8,80.3,7.5,0,0,0,0,0,0,5,
2012-01-06,08:05,16:07,08:02:07,+1:32,06:02:00,18:10:00,06:43:00,17:29:00,07:25:00,16:46:00,12:06,147.098,9.9,1.5,-1,6,6.4,0.5,W,8.7,28,1,1022.2,87.7,5.1,0,0,0,0,0,0,6,
2012-01-07,08:04,16:08,08:03:45,+1:37,06:02:00,18:11:00,06:42:00,17:30:00,07:25:00,16:48:00,12:06,147.1,9,7.4,4.2,6,0.4,0,W,10.5,29,7,1020.2,78.7,8.1,0,0,0,0,0,0,7,
2012-01-08,08:04,16:09,08:05:28,+1:43,06:02:00,18:12:00,06:42:00,17:31:00,07:25:00,16:49:00,12:07,147.103,9.4,7,6.1,6.4,0.1,,NW,7.7,19,8,1025.3,81.1,8,0,0,0,0,0,0,8,
2012-01-09,08:03,16:11,08:07:17,+1:48,06:01:00,18:13:00,06:42:00,17:32:00,07:24:00,16:50:00,12:07,147.106,11.5,6.9,5,6.7,0.6,0,SW,7.5,22,7,1028.4,85.8,9.3,0,0,0,0,0,0,9,
2012-01-10,08:03,16:12,08:09:11,+1:54,06:01:00,18:14:00,06:41:00,17:34:00,07:24:00,16:51:00,12:07,147.111,10.5,7.7,5.2,7.2,1,0,SW,7.5,26,8,1031.8,87.5,8.9,0,0,0,0,0,0,10,
2012-01-11,08:02,16:13,08:11:11,+1:59,06:01:00,18:15:00,06:41:00,17:35:00,07:23:00,16:53:00,12:08,147.117,11.5,6.9,5,7.1,5,0,SW,9.3,22,0,1031.2,88.2,8.6,0,0,0,0,0,0,11,
2012-01-12,08:02,16:15,08:13:15,+2:04,06:00:00,18:16:00,06:41:00,17:36:00,07:23:00,16:54:00,12:08,147.123,11.5,7.5,5.7,7.1,4.3,0,SW,10.6,31,8,1026.1,84.5,7.9,0,0,0,0,0,0,12,
2012-01-13,08:01,16:16,08:15:25,+2:09,06:00:00,18:17:00,06:40:00,17:37:00,07:22:00,16:55:00,12:09,147.131,5.8,0.6,-2.9,6.4,6.4,0,W,2.8,13,5,1032.4,88.9,2.1,0,0,0,0,0,0,13,
2012-01-14,08:00,16:18,08:17:39,+2:14,06:00:00,18:19:00,06:40:00,17:39:00,07:22:00,16:57:00,12:09,147.139,5,-3.1,-7.3,5,6.8,0,CALM,1,11,0,1029.8,89.9,-0.2,0,0,0,0,0,0,14,
2012-01-15,07:59,16:19,08:19:58,+2:18,05:59:00,18:20:00,06:39:00,17:40:00,07:21:00,16:58:00,12:09,147.149,5.6,-0.2,-5,4.2,3.7,0,SE,1.9,16,7,1025,84.3,2.1,0,0,0,0,0,0,15,
2012-01-16,07:59,16:21,08:22:21,+2:23,05:58:00,18:21:00,06:38:00,17:41:00,07:20:00,16:59:00,12:10,147.159,6.5,-2.1,-7,3.9,7,0,SE,2.2,12,0,1025.7,86.8,0.8,0,0,0,0,0,0,16,
2012-01-17,07:58,16:23,08:24:49,+2:27,05:58:00,18:22:00,06:38:00,17:43:00,07:19:00,17:01:00,12:10,147.169,8,-1,-5.8,3.4,4.4,0.4,S,4.6,22,2,1026.9,84.6,1.7,0,0,0,0,0,0,17,
2012-01-18,07:57,16:24,08:27:21,+2:32,05:57:00,18:24:00,06:37:00,17:44:00,07:19:00,17:02:00,12:10,147.181,11.3,2,-0.3,3.3,0,12.4,S,9.9,30,8,1022.2,95.2,8.3,0,0,0,0,0,0,18,
2012-01-19,07:56,16:26,08:29:58,+2:36,05:57:00,18:25:00,06:36:00,17:45:00,07:18:00,17:04:00,12:11,147.193,8.5,6,5.4,5,2.6,0.9,W,8.4,33,8,1017.1,90.6,7.3,0,0,0,0,0,0,19,
2012-01-20,07:55,16:27,08:32:38,+2:40,05:56:00,18:27:00,06:35:00,17:47:00,07:17:00,17:05:00,12:11,147.206,10.5,3,0.8,5,0,6.1,W,11.2,27,8,1017.3,89.2,6,0,0,0,0,0,0,20,
2012-01-21,07:54,16:29,08:35:22,+2:44,05:55:00,18:28:00,06:35:00,17:48:00,07:16:00,17:07:00,12:11,147.219,11.4,7.2,6.1,5.6,1.5,0.7,W,12.6,37,6,1010.4,84.1,8.6,0,0,0,0,0,0,21,
2012-01-22,07:53,16:31,08:38:10,+2:47,05:54:00,18:29:00,06:34:00,17:50:00,07:15:00,17:08:00,12:11,147.233,10.4,4.9,2.8,5.8,2.3,0,SW,13.5,40,4,1012.5,75.9,6.9,0,0,0,0,0,0,22,
2012-01-23,07:51,16:32,08:41:01,+2:51,05:53:00,18:31:00,06:33:00,17:51:00,07:14:00,17:10:00,12:12,147.247,8.1,4.4,2.7,5.5,3.6,1.3,W,7.6,20,7,1017.6,82.5,5.2,0,0,0,0,0,0,23,
2012-01-24,07:50,16:34,08:43:56,+2:55,05:52:00,18:32:00,06:32:00,17:53:00,07:13:00,17:12:00,12:12,147.262,9.5,1.6,-1.6,5,0.1,2,S,6.2,25,8,1018.1,93.4,5.6,0,0,0,0,0,0,24,
2012-01-25,07:49,16:36,08:46:55,+2:58,05:52:00,18:34:00,06:31:00,17:54:00,07:12:00,17:13:00,12:12,147.277,9.4,8.1,7.2,5.9,0,3.8,SW,7.4,31,8,1013.8,90.4,8.7,0,0,0,0,0,0,25,
2012-01-26,07:48,16:38,08:49:56,+3:01,05:51:00,18:35:00,06:30:00,17:56:00,07:11:00,17:15:00,12:12,147.293,8.2,5.4,4.6,6.5,3.9,0.3,S,8.8,30,7,1007.7,86.5,5.8,0,0,0,0,0,0,26,
2012-01-27,07:46,16:39,08:53:01,+3:04,05:50:00,18:36:00,06:29:00,17:57:00,07:10:00,17:16:00,12:13,147.309,7.7,1.4,-0.5,5.7,7.1,0.8,SW,8.6,22,0,1017.8,85.3,3.8,0,0,0,0,0,0,27,
2012-01-28,07:45,16:41,08:56:09,+3:07,05:48:00,18:38:00,06:28:00,17:59:00,07:08:00,17:18:00,12:13,147.326,6.1,2,-0.1,5.3,0.7,0.1,N,2.4,14,8,1028.2,91.1,3.3,0,0,0,0,0,0,28,
2012-01-29,07:44,16:43,08:59:19,+3:10,05:47:00,18:39:00,06:27:00,18:00:00,07:07:00,17:20:00,12:13,147.344,3.4,0.3,-1.9,5,0,0,N,1.3,12,8,1030.7,93.9,1.7,1,1,0,0,0,0,29,
2012-01-30,07:42,16:45,09:02:32,+3:13,05:46:00,18:41:00,06:25:00,18:02:00,07:06:00,17:21:00,12:13,147.362,3.5,0,-1.9,5,0.1,0,E,1.3,11,8,1025.9,89.2,1.4,0,0,1,0,0,0,30,
2012-01-31,07:41,16:47,09:05:48,+3:15,05:45:00,18:42:00,06:24:00,18:03:00,07:04:00,17:23:00,12:13,147.381,1.8,-0.5,-2.9,4.8,0.8,,E,2.9,15,8,1026.6,89.7,0.2,0,0,0,0,0,0,31,
2012-02-01,07:39,16:48,09:09:06,+3:18,05:44:00,18:44:00,06:23:00,18:05:00,07:03:00,17:25:00,12:14,147.4,2.5,-5.1,-9.1,4.2,7.9,0,NE,4.7,21,0,1033.7,79,-1.9,0,0,0,0,0,0,1,
2012-02-02,07:38,16:50,09:12:27,+3:20,05:43:00,18:46:00,06:22:00,18:06:00,07:02:00,17:26:00,12:14,147.42,1.4,-6.1,-9.7,3.5,7.3,0,NE,4.2,21,1,1036.5,73.3,-2.8,0,0,0,0,0,0,2,
2012-02-03,07:36,16:52,09:15:50,+3:22,05:41:00,18:47:00,06:20:00,18:08:00,07:00:00,17:28:00,12:14,147.441,2,-7,-11,2.9,6.9,0,NE,2.3,18,2,1039,83.2,-3.2,0,0,0,0,0,0,3,
2012-02-04,07:35,16:54,09:19:15,+3:25,05:40:00,18:49:00,06:19:00,18:10:00,06:59:00,17:30:00,12:14,147.463,-0.3,-6.4,-10.7,2.5,1.3,13,NW,6.5,28,0,1034.6,87,-2.9,0,0,1,0,0,0,4,
2012-02-05,07:33,16:56,09:22:42,+3:27,05:39:00,18:50:00,06:17:00,18:11:00,06:57:00,17:31:00,12:14,147.485,1.4,-2.6,-2,2.4,0,,S,3,25,8,1027,96.1,0.1,1,0,1,1,0,0,5,
2012-02-06,07:31,16:57,09:26:12,+3:29,05:37:00,18:52:00,06:16:00,18:13:00,06:56:00,17:33:00,12:14,147.509,3.4,0.5,-0.5,2.3,0.6,0.8,S,2.1,13,8,1032.7,94.6,1.5,0,0,0,1,0,0,6,
2012-02-07,07:30,16:59,09:29:42,+3:30,05:36:00,18:53:00,06:14:00,18:15:00,06:54:00,17:35:00,12:14,147.533,3,0,-1.5,2.2,8,0,S,1.9,12,2,1040.2,84.4,-1.3,0,0,1,1,0,0,7,
2012-02-08,07:28,17:01,09:33:15,+3:32,05:34:00,18:55:00,06:13:00,18:16:00,06:53:00,17:37:00,12:14,147.558,0,-7.6,-8.4,2.1,0,0,NE,3.8,16,8,1041.4,84.1,-1.4,0,0,0,1,0,0,8,
2012-02-09,07:26,17:03,09:36:50,+3:34,05:33:00,18:57:00,06:11:00,18:18:00,06:51:00,17:38:00,12:14,147.584,0.1,-2,-2,2.1,0,2.2,NW,1.7,9,8,1038.8,86.8,-0.8,0,0,1,1,0,0,9,
2012-02-10,07:24,17:05,09:40:26,+3:36,05:31:00,18:58:00,06:10:00,18:19:00,06:49:00,17:40:00,12:14,147.61,1.1,-2.5,-5.5,2.1,7.3,0,SE,1.6,15,7,1038,85.6,-2.2,0,0,0,1,0,0,10,
2012-02-11,07:23,17:07,09:44:04,+3:37,05:30:00,19:00:00,06:08:00,18:21:00,06:48:00,17:42:00,12:14,147.638,0.5,-11.5,-15.3,2,8.8,0,SE,0.8,11,0,1036.6,87.4,-6.7,0,0,0,1,0,0,11,
2012-02-12,07:21,17:08,09:47:43,+3:39,05:28:00,19:01:00,06:07:00,18:23:00,06:46:00,17:43:00,12:14,147.666,3.8,-7.6,-12.7,2,0.1,0.2,W,3.8,12,8,1033.8,92,0.3,0,0,0,1,0,0,12,
2012-02-13,07:19,17:10,09:51:24,+3:40,05:26:00,19:03:00,06:05:00,18:24:00,06:44:00,17:45:00,12:14,147.695,5.2,0.5,-2.9,2,0,0.6,W,7.2,23,8,1026.2,93.5,3.2,0,0,0,1,0,0,13,
2012-02-14,07:17,17:12,09:55:06,+3:42,05:25:00,19:05:00,06:03:00,18:26:00,06:42:00,17:47:00,12:14,147.724,7.5,2.3,0.5,2.1,0.6,0.2,NW,7.9,21,8,1023.7,84.6,4.8,0,0,0,0,0,0,14,
2012-02-15,07:15,17:14,09:58:49,+3:43,05:23:00,19:06:00,06:01:00,18:28:00,06:41:00,17:49:00,12:14,147.754,9.9,5.1,3.5,2.2,1.7,0,NW,10.1,27,5,1024.4,82.5,7.4,0,0,0,0,0,0,15,
2012-02-16,07:13,17:16,10:02:34,+3:44,05:21:00,19:08:00,06:00:00,18:29:00,06:39:00,17:50:00,12:14,147.785,10.8,5,3.1,3.3,4.8,0,W,7.4,20,2,1026.1,81.6,7.2,0,0,0,0,0,0,16,
2012-02-17,07:11,17:18,10:06:19,+3:45,05:19:00,19:10:00,05:58:00,18:31:00,06:37:00,17:52:00,12:14,147.816,11.7,6.6,4.3,4,0.2,,SW,8.1,21,8,1021.5,87.4,9.2,0,0,0,0,0,0,17,
2012-02-18,07:09,17:19,10:10:06,+3:46,05:18:00,19:11:00,05:56:00,18:33:00,06:35:00,17:54:00,12:14,147.848,9.9,7.4,6.6,5,0.6,2.2,SW,12.3,40,7,1010.4,84.4,6.6,0,0,0,0,0,0,18,
2012-02-19,07:07,17:21,10:13:54,+3:47,05:16:00,19:13:00,05:54:00,18:34:00,06:33:00,17:55:00,12:14,147.879,7.1,-0.4,-2.3,4.6,9.1,0,NW,6.5,22,0,1023.4,72.5,1.9,0,0,0,0,0,0,19,
2012-02-20,07:05,17:23,10:17:42,+3:48,05:14:00,19:15:00,05:52:00,18:36:00,06:31:00,17:57:00,12:14,147.911,8,-0.5,-5.6,3.7,4,0,S,9.1,24,5,1030.4,70.2,3.9,0,0,0,0,0,0,20,
2012-02-21,07:03,17:25,10:21:32,+3:49,05:12:00,19:16:00,05:51:00,18:38:00,06:29:00,17:59:00,12:14,147.944,12,3.6,1.5,3.9,6.3,0,SW,9.8,25,1,1027.1,81.9,7.7,0,0,0,0,0,0,21,
2012-02-22,07:01,17:27,10:25:22,+3:50,05:10:00,19:18:00,05:49:00,18:39:00,06:27:00,18:01:00,12:14,147.977,12.8,6.6,4.7,4.7,0,1.5,SW,14.1,39,8,1021.1,87.1,8.6,0,0,0,0,0,0,22,
2012-02-23,06:59,17:28,10:29:13,+3:51,05:08:00,19:20:00,05:47:00,18:41:00,06:25:00,18:02:00,12:13,148.01,16.9,10.3,7.6,5.5,9.3,0,SW,9.7,23,7,1021.5,87.8,12.2,0,0,0,0,0,0,23,
2012-02-24,06:57,17:30,10:33:05,+3:51,05:06:00,19:22:00,05:45:00,18:43:00,06:23:00,18:04:00,12:13,148.043,14.8,8,5.6,6.3,5.3,0,SW,8.3,26,3,1025.9,87,10.1,0,0,0,0,0,0,24,
2012-02-25,06:55,17:32,10:36:57,+3:52,05:04:00,19:23:00,05:43:00,18:45:00,06:21:00,18:06:00,12:13,148.077,11.1,2.9,-1.1,6.5,7.2,0,NW,5,20,6,1026.9,79,6.2,0,0,0,0,0,0,25,
2012-02-26,06:53,17:34,10:40:50,+3:52,05:02:00,19:25:00,05:41:00,18:46:00,06:19:00,18:08:00,12:13,148.111,13.1,3.2,-1,5.8,8.4,1.4,W,4.4,15,0,1027.5,81,6.9,0,0,0,0,0,0,26,
2012-02-27,06:51,17:36,10:44:44,+3:53,05:00:00,19:27:00,05:39:00,18:48:00,06:17:00,18:09:00,12:13,148.145,11.2,5.1,2.9,5.9,0,0.1,SW,7.6,18,8,1023.4,88.5,8.6,0,0,0,0,0,0,27,
2012-02-28,06:49,17:37,10:48:38,+3:54,04:58:00,19:29:00,05:37:00,18:50:00,06:15:00,18:11:00,12:13,148.179,12,9.3,8.6,6.7,0.4,0.1,W,5.5,17,7,1023.1,92.1,10.2,0,0,0,0,0,0,28,
2012-02-29,06:47,17:39,10:52:32,+3:54,04:56:00,19:30:00,05:35:00,18:51:00,06:13:00,18:13:00,12:12,148.214,11.9,8.4,7.5,7.4,0,0,SW,4.8,14,8,1023.8,89.4,10,0,0,0,0,0,0,29,
2012-03-01,06:44,17:41,10:56:27,+3:55,04:54:00,19:32:00,05:32:00,18:53:00,06:11:00,18:14:00,12:12,148.25,14.4,5.4,0.2,7.5,9.9,0,W,2.4,12,2,1025.7,85.4,8.7,0,0,0,0,0,0,1,
2012-03-02,06:42,17:43,11:00:23,+3:55,04:51:00,19:34:00,05:30:00,18:55:00,06:09:00,18:16:00,12:12,148.286,10.5,1.7,-2.4,6.9,5,,N,1.6,12,7,1025.3,94,5.8,1,0,0,0,0,0,2,
2012-03-03,06:40,17:44,11:04:19,+3:55,04:49:00,19:36:00,05:28:00,18:57:00,06:07:00,18:18:00,12:12,148.322,14.4,6.1,6.1,7.3,5.6,0.6,S,7.2,30,7,1017.8,82.9,8.9,0,0,0,0,0,0,3,
2012-03-04,06:38,17:46,11:08:15,+3:56,04:47:00,19:37:00,05:26:00,18:58:00,06:05:00,18:20:00,12:12,148.358,8.5,5.4,3.5,7.2,0,14,SE,9.2,31,8,1015.4,93.8,5.2,0,0,1,0,0,0,4,
2012-03-05,06:36,17:48,11:12:11,+3:56,04:45:00,19:39:00,05:24:00,19:00:00,06:02:00,18:21:00,12:11,148.396,7.5,2,0.3,6.5,4.1,0,NW,14.1,33,2,1020.3,73.7,4.8,0,0,0,0,0,0,5,
2012-03-06,06:34,17:50,11:16:08,+3:56,04:43:00,19:41:00,05:22:00,19:02:00,06:00:00,18:23:00,12:11,148.433,7.8,2.2,0.7,6.1,1.9,0.7,NW,5.4,22,8,1024.4,85.8,4.1,0,0,0,0,0,0,6,
2012-03-07,06:31,17:51,11:20:05,+3:57,04:40:00,19:43:00,05:20:00,19:03:00,05:58:00,18:25:00,12:11,148.471,10.3,3.6,2.5,6.1,2,3,SW,12.2,34,8,1015.7,83.7,6.2,0,0,0,0,0,0,7,
2012-03-08,06:29,17:53,11:24:02,+3:57,04:38:00,19:45:00,05:17:00,19:05:00,05:56:00,18:26:00,12:11,148.51,12.7,1.6,-1,5.9,7.6,0.1,W,7.8,22,1,1029.6,75.5,6.6,0,0,0,0,0,0,8,
2012-03-09,06:27,17:55,11:28:00,+3:57,04:36:00,19:47:00,05:15:00,19:07:00,05:54:00,18:28:00,12:10,148.55,11.1,5.5,3.6,6.4,1.3,0,SW,9.3,26,8,1033,82.4,8.9,0,0,0,0,0,0,9,
2012-03-10,06:25,17:57,11:31:57,+3:57,04:33:00,19:48:00,05:13:00,19:09:00,05:51:00,18:30:00,12:10,148.589,14.5,7.5,5,7,4,0,W,7.6,21,6,1035.4,86.6,10.5,0,0,0,0,0,0,10,
2012-03-11,06:22,17:58,11:35:55,+3:57,04:31:00,19:50:00,05:11:00,19:10:00,05:49:00,18:32:00,12:10,148.63,16,6.1,1.9,7.5,9.7,0,NW,2.7,11,2,1036.1,85,9.9,0,0,0,0,0,0,11,
2012-03-12,06:20,18:00,11:39:53,+3:58,04:28:00,19:52:00,05:08:00,19:12:00,05:47:00,18:33:00,12:10,148.67,8.1,3.7,-0.1,7.5,0,0.2,NW,2.4,10,8,1034.8,95.2,6.4,1,1,0,0,0,0,12,
2012-03-13,06:18,18:02,11:43:51,+3:58,04:26:00,19:54:00,05:06:00,19:14:00,05:45:00,18:35:00,12:09,148.712,8,4.4,4.4,7.5,0,0,SE,1.1,7,8,1034.3,90.6,6.2,0,0,0,0,0,0,13,
